NU_ANO_CENSO|ID_MATRICULA|CO_PESSOA_FISICA|NU_DIA|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|NU_DURACAO_TURMA|NU_DUR_ATIV_COMP_MESMA_REDE|NU_DUR_ATIV_COMP_OUTRAS_REDES|NU_DUR_AEE_MESMA_REDE|NU_DUR_AEE_OUTRAS_REDES|NU_DIAS_ATIVIDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|TP_OUTRO_LOCAL_AULA|IN_TRANSPORTE_PUBLICO|TP_RESPONSAVEL_TRANSPORTE|IN_TRANSP_VANS_KOMBI|IN_TRANSP_MICRO_ONIBUS|IN_TRANSP_ONIBUS|IN_TRANSP_BICICLETA|IN_TRANSP_TR_ANIMAL|IN_TRANSP_OUTRO_VEICULO|IN_TRANSP_EMBAR_ATE5|IN_TRANSP_EMBAR_5A15|IN_TRANSP_EMBAR_15A35|IN_TRANSP_EMBAR_35|IN_TRANSP_TREM_METRO|IN_NECESSIDADE_ESPECIAL|IN_CEGUEIRA|IN_BAIXA_VISAO|IN_SURDEZ|IN_DEF_AUDITIVA|IN_SURDOCEGUEIRA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SINDROME_ASPERGER|IN_SINDROME_RETT|IN_TRANSTORNO_DI|IN_SUPERDOTACAO|IN_RECURSO_LEDOR|IN_RECURSO_TRANSCRICAO|IN_RECURSO_INTERPRETE|IN_RECURSO_LIBRAS|IN_RECURSO_LABIAL|IN_RECURSO_BRAILLE|IN_RECURSO_AMPLIADA_16|IN_RECURSO_AMPLIADA_20|IN_RECURSO_AMPLIADA_24|IN_RECURSO_NENHUM|TP_INGRESSO_FEDERAIS|TP_MEDIACAO_DIDATICO_PEDAGO|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|TP_ETAPA_ENSINO|ID_TURMA|CO_CURSO_EDUC_PROFISSIONAL|TP_UNIFICADA|TP_TIPO_TURMA|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2017|249845174|175327034100|19|3|2000|17|17|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|26|10365475||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2017|249845167|175327033472|2|6|1994|22|23|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|26|10365475||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2017|249845097|175327029017|26|12|1996|20|21|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|1|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|26|10365475||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2017|249845111|144864071992|5|8|1989|27|28|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|1|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|26|10365475||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2017|249845105|144864071305|18|7|1991|25|26|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|26|10365475||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2017|249844922|118321157989|23|5|1999|18|18|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|26|10365475||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2017|249844947|124309979830|9|11|1991|25|26|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|1|0|0|||||||||||||||||||||||||1|0|1|0|0|26|10365475||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2017|249844928|112746491884|16|12|1996|20|21|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|1|0|0|||||||||||||||||||||||||1|0|1|0|0|26|10365475||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2017|249844919|119598193640|30|5|1999|18|18|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|26|10365475||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2017|249844944|119632876732|7|1|2000|17|17|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|26|10365475||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
